session_date,session_high,session_low,poc,vah,val,total_volume,prior_rth_vah,prior_rth_val,prior_rth_poc,prior_rth_high,prior_rth_low,overnight_vah,overnight_val,overnight_poc,overnight_high,overnight_low,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,normalized_volume,prior_vah,prior_val,prior_poc,prior_high,prior_low,prior_normalized_volume
2025-04-30,20035.75,19275.75,19929.25,20035.75,19440.75,1968019,19640.5,19485.5,19564.0,19692.5,19470.75,19986.5,19907.0,19929.25,20035.75,19812.0,19438.5,19275.75,162.75,19309.25,19848.25,19878.5,19275.75,1.5276437504162774,19687.0,19425.25,19564.0,19692.5,19102.25,1.3443205078379221
2025-05-01,20180.5,19748.25,20015.5,20089.75,19919.75,1802101,19550.0,19346.75,19424.25,19878.5,19275.75,20105.25,19859.0,19934.25,20180.5,19748.25,20125.25,19975.0,150.25,19998.75,19797.0,20125.25,19756.0,1.398852516296298,20035.75,19440.75,19929.25,20035.75,19275.75,1.5276437504162774
2025-05-02,20277.0,20122.75,20221.0,20255.25,20173.75,832942,20045.75,19935.25,20015.5,20125.25,19756.0,,,,,,20194.25,20122.75,71.5,20179.25,20200.5,20277.0,20122.75,0.6465581078024323,20089.75,19919.75,20015.5,20180.5,19748.25,1.398852516296298
2025-05-04,20200.0,19966.25,20058.25,20078.75,20002.0,680222,20255.25,20173.75,20221.0,20277.0,20122.75,20078.75,20002.0,20058.25,20200.0,19966.25,,,,,,,,0.5280116133003091,20255.25,20173.75,20221.0,20277.0,20122.75,0.6465581078024323
2025-05-05,20191.25,19738.25,20131.75,20191.25,19861.25,1379089,,,,,,19909.0,19771.75,19839.0,20037.5,19738.25,20124.25,20009.0,115.25,20059.5,20041.0,20191.25,20002.0,1.0704961141725937,20078.75,20002.0,20058.25,20200.0,19966.25,0.5280116133003091
2025-05-06,20136.25,19801.25,19917.0,19966.0,19861.25,1607064,20148.5,20070.5,20131.75,20191.25,20002.0,20093.5,19925.0,20001.5,20136.25,19801.25,19945.0,19881.0,64.0,19899.75,19846.25,20027.0,19808.75,1.2474581170806707,20191.25,19861.25,20131.75,20191.25,19738.25,1.0704961141725937
2025-05-07,20262.25,19678.5,19829.75,20077.0,19686.0,1904543,19947.5,19881.5,19917.0,20027.0,19808.75,20194.25,20055.0,20091.5,20262.25,19910.25,19977.75,19788.5,189.25,19972.0,19957.25,20055.0,19678.5,1.4783715052288968,19966.0,19861.25,19917.0,20136.25,19801.25,1.2474581170806707
2025-05-08,20337.5,19978.0,20286.5,20323.0,20169.25,1653084,19912.0,19785.25,19829.75,20055.0,19678.5,20265.25,20175.75,20232.25,20290.0,20080.5,20205.75,19978.0,227.75,20091.25,20155.75,20337.5,19978.0,1.2831804172180967,20077.0,19686.0,19829.75,20262.25,19678.5,1.4783715052288968
2025-05-09,20187.0,20057.5,20138.0,20159.75,20104.0,811406,20337.0,20164.25,20304.5,20337.5,19978.0,,,,,,20176.0,20057.5,118.5,20134.0,20146.5,20187.0,20057.5,0.6298411270166955,20323.0,20169.25,20286.5,20337.5,19978.0,1.2831804172180967
2025-05-11,20991.5,20373.75,20802.0,20962.5,20754.25,970109,20159.75,20104.0,20138.0,20187.0,20057.5,20962.5,20754.25,20802.0,20991.5,20373.75,,,,,,,,0.7530318310303836,20159.75,20104.0,20138.0,20187.0,20057.5,0.6298411270166955
2025-05-12,21242.0,20690.0,20909.25,20987.0,20754.0,1454476,,,,,,21070.25,20818.25,20858.75,21242.0,20818.25,20815.75,20690.0,125.75,20741.5,20958.0,20996.0,20690.0,1.129014085499411,20962.5,20754.25,20802.0,20991.5,20373.75,0.7530318310303836
2025-05-13,21404.75,21186.5,21321.0,21344.25,21267.5,1416581,20971.75,20789.5,20909.25,20996.0,20690.0,21350.5,21276.25,21338.25,21404.75,21237.0,21293.0,21186.5,106.5,21210.25,21254.75,21347.0,21186.5,1.0995986886348357,20987.0,20754.0,20909.25,21242.0,20690.0,1.129014085499411
2025-05-14,21419.75,21192.25,21366.25,21387.0,21300.0,1337916,21335.5,21262.0,21321.0,21347.0,21186.5,21339.25,21253.75,21297.0,21412.5,21192.25,21385.0,21288.25,96.75,21342.5,21403.5,21419.75,21281.25,1.038536221439907,21344.25,21267.5,21321.0,21404.75,21186.5,1.0995986886348357
2025-05-15,21529.75,21256.75,21435.0,21471.25,21372.75,1315287,21387.5,21334.5,21366.25,21419.75,21281.25,21464.0,21400.25,21434.75,21504.5,21348.75,21423.0,21256.75,166.25,21287.75,21396.25,21529.75,21256.75,1.02097081662005,21387.0,21300.0,21366.25,21419.75,21192.25,1.038536221439907
2025-05-16,21513.0,21320.0,21434.5,21504.5,21402.25,605827,21474.25,21341.0,21407.75,21529.75,21256.75,,,,,,21414.5,21320.0,94.5,21413.0,21404.25,21513.0,21320.0,0.4702636663484662,21471.25,21372.75,21435.0,21529.75,21256.75,1.02097081662005
2025-05-18,21462.75,21112.25,21203.5,21353.75,21152.25,744697,21504.5,21402.25,21434.5,21513.0,21320.0,21353.75,21152.25,21203.5,21462.75,21112.25,,,,,,,,0.578059316502407,21504.5,21402.25,21434.5,21513.0,21320.0,0.4702636663484662
