session_date,prior_rth_vah,prior_rth_val,prior_rth_poc,overnight_vah,overnight_val,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,day_classification,pre_ib_total,pre_ib_A,pre_ib_A_star,pre_ib_R,pre_ib_B,post_ib_total,post_ib_A,post_ib_A_star,post_ib_R,post_ib_B
2025-05-07,19947.5,19881.5,19917.0,20194.25,20055.0,19977.75,19788.5,189.25,19972.0,19957.25,20055.0,19678.5,above_value,5,1,0,2,2,11,0,0,5,6
2025-05-08,19912.0,19785.25,19829.75,20265.25,20175.75,20205.75,19978.0,227.75,20091.25,20155.75,20337.5,19978.0,above_value,5,0,1,2,2,3,0,0,1,2
2025-05-09,20337.0,20164.25,20304.5,,,20176.0,20057.5,118.5,20134.0,20146.5,20187.0,20057.5,below_value,5,0,1,2,2,1,0,0,0,1
2025-05-11,20159.75,20104.0,20138.0,20962.5,20754.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-12,,,,21070.25,20818.25,20815.75,20690.0,125.75,20741.5,20958.0,20996.0,20690.0,unknown,3,0,0,1,2,2,1,0,0,1
2025-05-13,20971.75,20789.5,20909.25,21350.5,21276.25,21293.0,21186.5,106.5,21210.25,21254.75,21347.0,21186.5,above_value,3,1,0,1,1,7,0,0,3,4
2025-05-14,21335.5,21262.0,21321.0,21339.25,21253.75,21385.0,21288.25,96.75,21342.5,21403.5,21419.75,21281.25,above_value,7,0,1,3,3,10,1,0,4,5
2025-05-15,21387.5,21334.5,21366.25,21464.0,21400.25,21423.0,21256.75,166.25,21287.75,21396.25,21529.75,21256.75,above_value,5,0,1,2,2,9,0,0,4,5
2025-05-16,21474.25,21341.0,21407.75,,,21414.5,21320.0,94.5,21413.0,21404.25,21513.0,21320.0,within_value,3,0,0,1,2,5,0,0,2,3
2025-05-18,21504.5,21402.25,21434.5,21353.75,21152.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-19,,,,21459.0,21383.25,21435.0,21377.0,58.0,21404.75,21517.5,21545.5,21377.0,unknown,3,1,0,1,1,8,1,0,3,4
2025-05-20,21542.75,21435.25,21494.25,21423.0,21315.5,21451.25,21381.5,69.75,21394.0,21419.0,21473.75,21298.0,below_value,1,0,0,0,1,7,0,0,3,4
2025-05-21,21452.0,21377.75,21421.5,21252.5,21136.5,21535.5,21372.0,163.5,21383.5,21145.25,21558.5,21071.75,below_value,3,1,0,1,1,8,1,0,3,4
2025-05-22,21558.5,21227.5,21515.5,21231.5,20873.0,21269.25,21166.5,102.75,21233.5,21214.25,21337.75,21166.25,below_value,1,0,0,0,1,7,0,0,3,4
2025-05-23,21302.0,21222.5,21253.0,,,20988.25,20883.75,104.5,20943.75,20953.25,21083.75,20883.75,below_value,3,0,0,1,2,5,0,0,2,3
2025-05-25,21032.75,20918.75,20967.25,21288.25,21190.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-26,,,,21337.0,21206.75,21269.0,21215.5,53.5,21268.25,21284.5,21296.25,21215.5,unknown,1,0,0,0,1,2,1,0,0,1
2025-05-27,21032.75,20918.75,20967.25,21510.25,21438.25,21400.75,21348.25,52.5,21369.5,21477.5,21488.25,21348.25,above_value,3,1,0,1,1,4,1,0,1,2
2025-05-28,21480.25,21398.0,21449.0,21848.25,21546.0,21477.5,21426.25,51.25,21456.0,21525.0,21528.75,21320.0,above_value,1,0,0,0,1,12,0,1,5,6
2025-05-29,21489.0,21438.5,21467.75,21388.0,21315.0,21522.0,21430.25,91.75,21456.0,21384.5,21522.0,21301.0,below_value,1,0,0,0,1,6,1,0,2,3
2025-05-30,21470.5,21367.5,21433.25,,,21399.5,21318.25,81.25,21384.5,21369.0,21433.25,21071.5,within_value,1,0,0,0,1,7,0,0,3,4
2025-06-01,21415.0,21195.75,21369.0,21329.5,21217.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-02,,,,21630.5,21489.5,21418.75,21349.0,69.75,21379.0,21554.75,21576.75,21349.0,unknown,3,1,0,1,1,4,1,0,1,2
2025-06-03,21492.0,21349.0,21428.0,21745.0,21678.5,21686.5,21584.0,102.5,21621.25,21688.0,21759.75,21584.0,above_value,3,1,0,1,1,8,0,1,3,4
2025-06-04,21725.75,21652.25,21702.0,21796.75,21720.75,21784.75,21705.0,79.75,21743.75,21747.5,21802.75,21705.0,above_value,5,1,0,2,2,9,0,0,4,5
2025-06-05,21792.75,21742.75,21771.5,21863.5,21665.0,21925.0,21700.75,224.25,21801.75,21513.5,21936.25,21503.5,below_value,3,1,0,1,1,6,1,0,2,3
2025-06-06,21844.0,21563.75,21701.25,,,21870.25,21735.75,134.5,21784.5,21809.75,21880.0,21721.5,within_value,1,0,0,0,1,1,0,0,0,1
2025-06-08,21849.75,21783.25,21814.25,21815.5,21746.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-09,,,,21881.5,21809.75,21892.5,21813.25,79.25,21852.5,21821.5,21892.5,21796.5,unknown,3,1,0,1,1,3,0,0,1,2
